convention,scale,attack,budget_mult,policy,review_budget,score_auroc,recovered,precision,recall,precision_lift,n_pools_beat_top,delete_minus_no_action,correct_minus_no_action
cat,n300,margin_targeted,0.5,two_tailed,13.8,0.6201701133713713,0.6,0.04285714285714284,0.02169312169312168,-0.10545097082796698,2,-0.0004635800831206,0.0005811863184966
cat,n300,margin_targeted,1.0,bottom_oracle_diagnostic,27.2,0.6201701133713713,1.6,0.059035409035409006,0.059035409035409006,-0.08927270464970079,0,0.01948818558060216,0.0019451078561343801
cat,n300,margin_targeted,1.0,random,27.2,0.6201701133713713,3.72,0.13677045177045172,0.13677045177045172,-0.011537661914658087,1,0.0021073196650960046,0.0007808061039927671
cat,n300,margin_targeted,1.0,top,27.2,0.6201701133713713,4.8,0.17846967846967846,0.17846967846967846,0.03016156478456857,0,-0.0036184229549989996,-0.00015343673875452003
cat,n300,margin_targeted,1.0,two_tailed,27.2,0.6201701133713713,1.0,0.03707773707773706,0.03707773707773706,-0.11123037660737274,0,0.0014402016814535601,0.0011372632809463
cat,n300,margin_targeted,2.0,bottom_oracle_diagnostic,54.4,0.6201701133713713,4.2,0.07729955229955224,0.15459910459910456,-0.07100856138555753,0,0.05202780169201922,0.0031314627185591998
cat,n300,margin_targeted,2.0,random,54.4,0.6201701133713713,7.980000000000001,0.146559829059829,0.2931196581196581,-0.0017482846252808086,0,0.002498950407714224,0.0012111193323920521
cat,n300,margin_targeted,2.0,top,54.4,0.6201701133713713,12.2,0.224053724053724,0.4481074481074481,0.07574561036861413,0,-0.00396459775559198,-0.00099589421853234
cat,n300,margin_targeted,2.0,two_tailed,54.4,0.6201701133713713,6.4,0.11875254375254374,0.23750508750508748,-0.0295555699325661,0,0.0066677048861610395,0.0017442564072049054
cat,n3000,directional,0.5,bottom_oracle_diagnostic,138.8,0.15345248577294823,58.8,0.42325051759834365,0.21204499412073044,0.273456104895601,5,-0.017087747385415335,-0.048589522691209384
cat,n3000,directional,0.5,random,138.8,0.15345248577294823,20.94,0.15085921325051754,0.07558638539269671,0.0010648005477749442,5,0.0005034502697486166,-0.013419302456898319
cat,n3000,directional,0.5,top,138.8,0.15345248577294823,0.0,0.0,0.0,-0.14979441270274263,0,0.0321161074240439,0.0
cat,n3000,directional,0.5,two_tailed,138.8,0.15345248577294823,30.0,0.21600414078674945,0.10820956509596058,0.06620972808400687,5,0.01048434593119564,-0.03308228979054436
cat,n3000,directional,1.0,bottom_oracle_diagnostic,277.0,0.15345248577294823,121.2,0.43712519302421116,0.43712519302421116,0.2873307803214685,5,-0.03679839836425336,-0.06709234607927206
cat,n3000,directional,1.0,random,277.0,0.15345248577294823,42.099999999999994,0.15200050677077323,0.15200050677077323,0.002206094068030596,5,-0.00011787556736200431,-0.02434623455425234
cat,n3000,directional,1.0,top,277.0,0.15345248577294823,0.0,0.0,0.0,-0.14979441270274263,0,0.059703411954827444,0.0
cat,n3000,directional,1.0,two_tailed,277.0,0.15345248577294823,58.8,0.21204499412073044,0.21204499412073044,0.062250581417987824,5,0.01812063345887168,-0.048589522691209384
cat,n3000,directional,2.0,bottom_oracle_diagnostic,554.0,0.15345248577294823,201.0,0.36263059770212647,0.725261195404253,0.21283618499938378,5,-0.058816017341174434,-0.07688288378387062
cat,n3000,directional,2.0,random,554.0,0.15345248577294823,84.17999999999999,0.15194380268321359,0.3038876053664272,0.002149389980470966,5,0.0008156100087807429,-0.042352118801470266
