seed,alpha,detector,auroc
4,0.0,self_influence,0.5885565052231719
4,0.0,cross_fit,0.6692782526115859
4,0.0,training_dynamics,0.36253561253561256
4,0.25,self_influence,0.5035612535612536
4,0.25,cross_fit,0.560303893637227
4,0.25,training_dynamics,0.4097815764482431
4,0.5,self_influence,0.646011396011396
4,0.5,cross_fit,0.6028015194681862
4,0.5,training_dynamics,0.5531813865147198
4,0.75,self_influence,0.6851851851851852
4,0.75,cross_fit,0.610636277302944
4,0.75,training_dynamics,0.6711775878442545
4,1.0,self_influence,0.43874643874643876
4,1.0,cross_fit,0.5638651471984806
4,1.0,training_dynamics,0.7989078822412156
5,0.0,self_influence,0.5287824758023434
5,0.0,cross_fit,0.60825267447784
5,0.0,training_dynamics,0.2954661232806928
5,0.25,self_influence,0.5812531839021905
5,0.25,cross_fit,0.5998471726948548
5,0.25,training_dynamics,0.40269994905756495
5,0.5,self_influence,0.6726948548140601
5,0.5,cross_fit,0.5662251655629139
5,0.5,training_dynamics,0.5728476821192053
5,0.75,self_influence,0.7014773306164035
5,0.75,cross_fit,0.5809984717269485
5,0.75,training_dynamics,0.6882322975038206
5,1.0,self_influence,0.48955680081507896
5,1.0,cross_fit,0.6342333163525217
5,1.0,training_dynamics,0.8362200713194091
6,0.0,self_influence,0.5514670514670514
6,0.0,cross_fit,0.6238576238576239
6,0.0,training_dynamics,0.2994227994227994
6,0.25,self_influence,0.6577681577681578
6,0.25,cross_fit,0.6952861952861953
6,0.25,training_dynamics,0.4615199615199615
6,0.5,self_influence,0.689033189033189
6,0.5,cross_fit,0.5798460798460798
6,0.5,training_dynamics,0.6204906204906205
6,0.75,self_influence,0.6423761423761424
6,0.75,cross_fit,0.5461760461760462
6,0.75,training_dynamics,0.6308321308321309
6,1.0,self_influence,0.48508898508898507
6,1.0,cross_fit,0.6132756132756133
6,1.0,training_dynamics,0.79004329004329
7,0.0,self_influence,0.5502564102564103
7,0.0,cross_fit,0.6782051282051282
7,0.0,training_dynamics,0.28282051282051285
7,0.25,self_influence,0.5846153846153846
7,0.25,cross_fit,0.5884615384615385
7,0.25,training_dynamics,0.43948717948717947
7,0.5,self_influence,0.5917948717948718
7,0.5,cross_fit,0.5043589743589744
7,0.5,training_dynamics,0.5151282051282051
7,0.75,self_influence,0.615897435897436
7,0.75,cross_fit,0.5176923076923077
7,0.75,training_dynamics,0.6387179487179487
7,1.0,self_influence,0.5184615384615384
7,1.0,cross_fit,0.587948717948718
7,1.0,training_dynamics,0.8220512820512821
8,0.0,self_influence,0.608848667672197
8,0.0,cross_fit,0.669683257918552
8,0.0,training_dynamics,0.3622423328305681
8,0.25,self_influence,0.6156359979889392
8,0.25,cross_fit,0.6473102061337356
8,0.25,training_dynamics,0.4308697838109603
8,0.5,self_influence,0.6611362493715435
8,0.5,cross_fit,0.5975364504776269
8,0.5,training_dynamics,0.5407239819004525
8,0.75,self_influence,0.72473604826546
8,0.75,cross_fit,0.630718954248366
8,0.75,training_dynamics,0.7280040221216691
8,1.0,self_influence,0.5356963298139769
8,1.0,cross_fit,0.652589240824535
8,1.0,training_dynamics,0.879587732528909
9,0.0,self_influence,0.5291696925683854
9,0.0,cross_fit,0.5669329460179133
9,0.0,training_dynamics,0.289760348583878
9,0.25,self_influence,0.6349552166545631
9,0.25,cross_fit,0.607358992979908
9,0.25,training_dynamics,0.43137254901960786
9,0.5,self_influence,0.7194383926410071
