attack,detector,metric,n_seeds,mean,sd,median,min,max,p2_5,p97_5,block,alpha,stage,interval_type
,self_influence,auroc,20,0.6858889804478977,0.03692024442089643,0.6878608112160745,0.615897435897436,0.7413526071244192,0.6212924976258309,0.7355004413209653,E3,0.75,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.6745468756316175,0.029865751107542037,0.683859029420212,0.6239316239316239,0.7280040221216691,0.6272093647093647,0.7235547187382955,E3,0.75,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.6108499254643289,0.036734959327947875,0.6111462121395896,0.5446343779677113,0.6997934950955085,0.5505118429138037,0.68053973307329,E3,1.0,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.4761188196462321,0.04165063948227654,0.48395474895474894,0.4108507386653082,0.5356963298139769,0.41451548870147104,0.5343655731523379,E3,1.0,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.8264867785148697,0.030088349386747176,0.8192852898735252,0.7877027354151537,0.8879710893133712,0.7888144988635184,0.8839889948407517,E3,1.0,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.4197682900035048,0.23912536112319366,0.2715058835367886,0.1767126603727911,0.75,0.17832244008714598,0.7469147987773815,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,precision_at_budget,20,0.20854700854700853,0.18336557154550848,0.09615384615384616,0.0,0.5384615384615384,0.017592592592592594,0.5201923076923076,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,mean_flipped,20,0.3857953638323787,0.17962878993867376,0.2831362861226161,0.1815337933792237,0.6453466749870547,0.19645224308378711,0.642316165297444,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,mean_unflipped,20,0.444082479653724,0.03516775875133096,0.4373768315381876,0.3992029429772761,0.5032455487573927,0.3994021636324195,0.5028174771271207,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,auroc,20,0.37483452057439504,0.23985037441853166,0.21960788475689136,0.11863799283154122,0.7033333333333334,0.13110302902523016,0.6953134233316353,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,precision_at_budget,20,0.14971509971509972,0.1597320857312175,0.05626780626780627,0.0,0.38461538461538464,0.0,0.37784900284900286,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,mean_flipped,20,71.29973884140551,33.63100494184945,49.86609686609687,35.135802469135804,115.7051282051282,37.669135802469135,115.05352564102563,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,ensemble,mean_unflipped,20,93.3447417626269,6.322618456587307,96.02611967939313,83.78444444444445,101.31827956989248,84.26326821192053,100.5039474235442,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,auroc,20,0.40805271112544056,0.23266439821395227,0.26378275881587143,0.13213859020310634,0.7156410256410256,0.16055528224830354,0.7092762353540499,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,precision_at_budget,20,0.16495726495726498,0.17415358209216092,0.05626780626780627,0.0,0.4230769230769231,0.0,0.40480769230769226,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,mean_flipped,20,19.457382414254177,12.2747492493335,11.420642555830565,5.065623568560499,36.087412871503496,6.426848862944373,35.95466637758121,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,self_influence,mean_unflipped,20,21.774172921164627,2.599166840458912,21.04588306547503,18.397422036519558,26.271118324969393,18.6239930148086,25.77863190543453,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,auroc,20,0.3051942967790882,0.19607910121795763,0.17305974159044335,0.0912783751493429,0.5784615384615385,0.10915250818476625,0.5731025641025641,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,precision_at_budget,20,0.06068376068376069,0.07821646904167302,0.0,0.0,0.19230769230769232,0.0,0.18892450142450143,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,mean_flipped,20,-2.046669020520358,0.6492852279769886,-2.3610375336738336,-3.0639886952614894,-1.170652739714483,-2.903121337181828,-1.1745145404493877,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,training_dynamics,mean_unflipped,20,-1.345692887530581,0.1188093139404092,-1.337345834167324,-1.5370779804103836,-1.1822239892852628,-1.5199221966040823,-1.18291873002821,stages,,stage0_pre_attack,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,auroc,20,0.677394631228205,0.17320648298960373,0.7711910973500378,0.42435048395313296,0.8742901393908106,0.42898272202411275,0.8704419886520991,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,precision_at_budget,20,0.4033475783475783,0.1683548149551636,0.4230769230769231,0.15384615384615385,0.6923076923076923,0.16873219373219372,0.6625356125356124,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
,cross_fit,mean_flipped,20,0.6142046361676213,0.17962878993867376,0.7168637138773839,0.35465332501294533,0.8184662066207764,0.35768383470255616,0.8035477569162129,stages,,stage1_flipped_clean_models,"repeated-split stability interval (same 300-example pool, not an independent CI)"
